train_samples,test_samples,method,C,ci_train_same_size,ci_train_max_size,ci_test,ibs_train_same_size,ibs_train_max_size,ibs_test,train_time,test_time,error,error_text,model_id
2,10,LogReg_Classic,1.0,0.9414922686008602,0.9421362693573496,0.9439125741907254,0.3293810891618514,0.2477668130648325,0.24463545442197493,1.1721153259277344,9.558447122573853,0,,10
2,25,LogReg_Classic,1.0,0.9414922686008602,0.9421362693573496,0.9442076384883398,0.3293810891618514,0.2477668130648325,0.22818655419576978,1.1721153259277344,23.2839777469635,0,,10
2,1,LogReg_Classic,10.0,0.9412990447913983,0.9420918894094112,0.9473722784046209,0.09185360897009492,0.07061972494920907,0.09970052062354033,1.1009340286254883,1.266371726989746,0,,11
2,10,LogReg_Classic,10.0,0.9412990447913983,0.9420918894094112,0.9442588693116757,0.09185360897009492,0.07061972494920907,0.066623502623108,1.1009340286254883,9.466200351715088,0,,11
2,25,LogReg_Classic,10.0,0.9412990447913983,0.9420918894094112,0.9446940845872754,0.09185360897009492,0.07061972494920907,0.06339004969148566,1.1009340286254883,23.447410821914673,0,,11
2,1,LogReg_Classic,100.0,0.9447574490293135,0.9450986058079869,0.9496829075851392,0.06784006160287168,0.05312906195332377,0.06931724247638602,1.104942798614502,1.1801443099975586,0,,12
2,10,LogReg_Classic,100.0,0.9447574490293135,0.9450986058079869,0.9454976305162195,0.06784006160287168,0.05312906195332377,0.05041607089027781,1.104942798614502,9.558443307876587,0,,12
2,25,LogReg_Classic,100.0,0.9447574490293135,0.9450986058079869,0.9459708769324752,0.06784006160287168,0.05312906195332377,0.048919490262265115,1.104942798614502,23.59681487083435,0,,12
5,1,LogReg_Classic,0.001,0.9122725119612353,0.9057045836994103,0.9194763909867426,0.652088934083773,0.5832547796582084,0.8101323203368789,2.6190009117126465,1.145045280456543,0,,13
5,10,LogReg_Classic,0.001,0.9122725119612353,0.9057045836994103,0.922709147576096,0.652088934083773,0.5832547796582084,0.6133353976662874,2.6190009117126465,9.041066884994507,0,,13
5,25,LogReg_Classic,0.001,0.9122725119612353,0.9057045836994103,0.9231628037076246,0.652088934083773,0.5832547796582084,0.5897363467153186,2.6190009117126465,22.933042764663696,0,,13
5,1,LogReg_Classic,0.01,0.9375802055409345,0.9371584876334756,0.948717831266526,0.6043805468547916,0.535574869859617,0.7665762749688723,2.6691064834594727,1.0668437480926514,0,,14
5,10,LogReg_Classic,0.01,0.9375802055409345,0.9371584876334756,0.9441649238062835,0.6043805468547916,0.535574869859617,0.5665562902134563,2.6691064834594727,8.703161478042603,0,,14
5,25,LogReg_Classic,0.01,0.9375802055409345,0.9371584876334756,0.9441931592619395,0.6043805468547916,0.535574869859617,0.5428135463032089,2.6691064834594727,21.40999174118042,0,,14
5,1,LogReg_Classic,0.1,0.9418342997671824,0.9411796980458905,0.9500273118602183,0.43493747319542025,0.3774476439444404,0.5835494612249741,2.6039586067199707,1.062854528427124,0,,15
5,10,LogReg_Classic,0.1,0.9418342997671824,0.9411796980458905,0.9452782091830376,0.43493747319542025,0.3774476439444404,0.4031332165449759,2.6039586067199707,8.67308759689331,0,,15
5,25,LogReg_Classic,0.1,0.9418342997671824,0.9411796980458905,0.9452112796071995,0.43493747319542025,0.3774476439444404,0.38081762371265837,2.6039586067199707,21.188395977020264,0,,15
5,1,LogReg_Classic,1.0,0.9438270355015582,0.9433188030724086,0.9511902130783157,0.22896849812553255,0.196422329844681,0.3235137317511696,2.408412456512451,1.071824312210083,0,,16
5,10,LogReg_Classic,1.0,0.9438270355015582,0.9433188030724086,0.9459650810874847,0.22896849812553255,0.196422329844681,0.20333292128014388,2.408412456512451,8.76232385635376,0,,16
